input,output
"""From the very beginning to the end, the program unfolded like a story, guiding me through the first steps of my career journey until its culmination."" Y","""From the very beginning to the end, the program unfolded like a story, guiding me through the first steps of my career journey until its culmination."" Y"
“.,“.
00. E-signature et Questionnaire d’avant-programme,00. E-Signature and pre-program questionnaire
Questionnaire d’avant-programme,Pre-program questionnaire
Questionnaire d’avant-programme : Auto-évaluation de votre préparation à l’emploi,Pre-program questionnaire: self-assessment of your employment preparation
"J’ai confiance en ma capacité à communiquer efficacement au travail.
(5 = Tout à fait d’accord, 3 = Neutre, 1 = Pas du tout d’accord)","I trust my ability to communicate effectively at work.
(5 = totally agree, 3 = neutral, 1 = not at all agree)"
"J’ai confiance en mes compétences pour passer un entretien d’embauche.
(5 = Tout à fait d’accord, 3 = Neutre, 1 = Pas du tout d’accord)","I trust my skills to have a job interview.
(5 = totally agree, 3 = neutral, 1 = not at all agree)"
"Je connais les cultures organisationnelles canadiennes.
(5 = Tout à fait d’accord, 3 = Neutre, 1 = Pas du tout d’accord)","I know Canadian organizational cultures.
(5 = totally agree, 3 = neutral, 1 = not at all agree)"
"Je connais mes objectifs de carrière et de développement professionnel.
(5 = Tout à fait d’accord, 3 = Neutre, 1 = Pas du tout d’accord)","I know my career and professional development goals.
(5 = totally agree, 3 = neutral, 1 = not at all agree)"
"Je me sens bien préparé.e pour travailler au Canada à un poste qui correspond à mes attentes. 
(5 = Tout à fait d’accord, 3 = Neutre, 1 = Pas du tout d’accord)","I feel well prepared to work in Canada at a position that meets my expectations. 
(5 = totally agree, 3 = neutral, 1 = not at all agree)"
"Je pense que je COMPRENDS les compétences non techniques que les employeurs canadiens recherchent. (5 = Tout à fait d’accord, 3 = Neutre, 1 = Pas du tout d’accord)","I think I understand the non -technical skills that Canadian employers are looking for.(5 = totally agree, 3 = neutral, 1 = not at all agree)"
"Je pense que je POSSÈDE les compétences non techniques que les employeurs canadiens recherchent. (5 = Tout à fait d’accord, 3 = Neutre, 1 = Pas du tout d’accord)","I think I have the non -technical skills that Canadian employers are looking for.(5 = totally agree, 3 = neutral, 1 = not at all agree)"
"Je sais comment chercher un emploi au Canada en utilisant LinkedIn.
(5 = Tout à fait d’accord, 3 = Neutre, 1 = Pas du tout d’accord)","I know how to look for a job in Canada using LinkedIn.
(5 = totally agree, 3 = neutral, 1 = not at all agree)"
"Je suis capable d’identifier de nouvelles opportunités de réseautage professionnel.
(5 = Tout à fait d’accord, 3 = Neutre, 1 = Pas du tout d’accord)","I am able to identify new professional networking opportunities.
(5 = totally agree, 3 = neutral, 1 = not at all agree)"
"Je suis capable de négocier un salaire.
(5 = Tout à fait d’accord, 3 = Neutre, 1 = Pas du tout d’accord)","I am able to negotiate a salary.
(5 = totally agree, 3 = neutral, 1 = not at all agree)"
"In my opinion, modules are enough good as they are currently.
Just frequently update the content to match the reality whenever possible.
It would be also good if ASCEND could support and assist people who completed the program in they journey to find a job by actively recommending them in terms of canadian workplace awarness and interpersonal skills aborded in the program.","In my opinion, modules are enough good as they are currently.
Just frequently update the content to match the reality whenever possible.
It would be also good if ASCEND could support and assist people who completed the program in they journey to find a job by actively recommending them in terms of canadian workplace awarness and interpersonal skills aborded in the program."
